reference,score,title,seed,url
FO 371/84054,1,Report on personalities in Korea for 1949. Code FK file 1012,FO 371/84053,https://discovery.nationalarchives.gov.uk/details/r/C2841533
FO 371/84056,2,Internal situation in Korea: general election: attempted unification of North and South Korea: invasion of...,FO 371/84057,https://discovery.nationalarchives.gov.uk/details/r/C2841535
FO 371/84058,2,Internal situation in Korea: general election: attempted unification of North and South Korea: invasion of...,FO 371/84057,https://discovery.nationalarchives.gov.uk/details/r/C2841537
FO 371/84075,2,Internal situation in Korea: general election: attempted unification of North and South Korea: invasion of...,FO 371/84076,https://discovery.nationalarchives.gov.uk/details/r/C2841554
FO 371/84077,2,General situation reports on Korea from Seoul. Code FK file 1017,FO 371/84076,https://discovery.nationalarchives.gov.uk/details/r/C2841556
FO 371/84096,1,Invasion of South Korea by North Korea; discussions in United Nations; support for UN resolution;...,FO 371/84097,https://discovery.nationalarchives.gov.uk/details/r/C2841575
FO 371/84098,1,Invasion of South Korea by North Korea; discussions in United Nations; support for UN resolution;...,FO 371/84097,https://discovery.nationalarchives.gov.uk/details/r/C2841577
FO 371/84129,2,Visit of President Rhee to Tokyo: agreement that some Korean-Japanese collaboration is desirable. Code FK...,FO 371/84130,https://discovery.nationalarchives.gov.uk/details/r/C2841608
FO 371/84131,1,United States military expenditure in Korea. Code FK file 10345,FO 371/84130,https://discovery.nationalarchives.gov.uk/details/r/C2841610
WO 281/1207,2,"Main Headquarters, British Commonwealth Korean Base",WO 281/1206,https://discovery.nationalarchives.gov.uk/details/r/C3011489
WO 281/1210,2,"Main Headquarters, British Commonwealth Korean Base",WO 281/1211,https://discovery.nationalarchives.gov.uk/details/r/C3011494
WO 281/1212,2,"Main Headquarters, British Commonwealth Korean Base",WO 281/1211,https://discovery.nationalarchives.gov.uk/details/r/C3011496
CAB 128/19/7,1,Record Type: Conclusion. Former Reference: CM (51) 7. Attendees: C Attlee; H Morrison; H Dalton;...,CAB 128/18,https://discovery.nationalarchives.gov.uk/details/r/D7663367
CAB 128/19/37,1,Record Type: Conclusion. Former Reference: CM (51) 37. Attendees: C Attlee; H Morrison; H Dalton;...,CAB 128/18,https://discovery.nationalarchives.gov.uk/details/r/D7663397
