log_id,ts,source,phase_or_layer,query,hits,new_records,note
Q-00001,2026-07-07T15:57:33,TNA,T-01,Korea,12466,100,
Q-00002,2026-07-07T15:57:35,TNA,T-01,Korean,4406,99,
Q-00003,2026-07-07T15:57:37,TNA,T-01,South Korea,1776,97,
Q-00004,2026-07-07T15:57:38,TNA,T-01,North Korea,1147,69,
Q-00005,2026-07-07T15:57:40,TNA,T-01,Corea,756,100,
Q-00006,2026-07-07T15:57:43,TNA,T-01,Corean,105,100,
Q-00007,2026-07-07T15:57:44,TNA,T-01,Choson,1,1,
Q-00008,2026-07-07T15:57:45,TNA,T-01,Joseon,0,0,
Q-00009,2026-07-07T15:57:46,TNA,T-01,Chosun,1,1,
Q-00010,2026-07-07T15:57:48,TNA,T-01,Chosen,4049,100,
Q-00011,2026-07-07T15:57:50,TNA,T-01,Republic of Korea,238,98,
Q-00012,2026-07-07T15:57:52,TNA,T-01,ROK,128,99,
Q-00013,2026-07-07T15:57:53,TNA,T-01,DPRK,2,2,
Q-00014,2026-07-07T15:57:54,TNA,T-01,Korean peninsula,21,20,
Q-00015,2026-07-07T15:57:56,TNA,T-01,Hermit Kingdom,12,12,
Q-00016,2026-07-07T15:57:58,TNA,T-01,Land of Morning Calm,19,19,
Q-00017,2026-07-07T15:57:59,TNA,T-01,Corea Japan,95,66,
Q-00018,2026-07-07T15:58:01,TNA,T-01,Corea China,177,23,
Q-00001,2026-07-07T15:58:10,TNA,T-01,Corean peninsula,0,0,
Q-00002,2026-07-07T15:58:11,TNA,T-04,FO 371 Korea,8,8,
Q-00003,2026-07-07T15:58:12,TNA,T-04,FO 371 Korean,0,0,
Q-00004,2026-07-07T15:58:13,TNA,T-04,FO 371 Corea,0,0,
Q-00005,2026-07-07T15:58:14,TNA,T-04,FO 371 Chosen,0,0,
Q-00006,2026-07-07T15:58:15,TNA,T-04,FO 371 Seoul,0,0,
Q-00007,2026-07-07T15:58:16,TNA,T-04,FO 371 Korean War,0,0,
Q-00008,2026-07-07T15:58:17,TNA,T-04,FO 371 trusteeship Korea,0,0,
Q-00009,2026-07-07T15:58:18,TNA,T-04,FO 371 Korean trusteeship,0,0,
Q-00010,2026-07-07T15:58:19,TNA,T-04,FO 371 38th parallel division,0,0,
Q-00011,2026-07-07T15:58:20,TNA,T-04,FO 371 Korea partition,0,0,
Q-00012,2026-07-07T15:58:21,TNA,T-04,FO 371 Korea occupation 1945,0,0,
Q-00013,2026-07-07T15:58:23,TNA,T-04,FO 371 Korea liberation 1945,0,0,
Q-00014,2026-07-07T15:58:24,TNA,T-04,FO 371 UNTCOK,0,0,
Q-00015,2026-07-07T15:58:25,TNA,T-04,FO 371 United Nations Temporary Commission Korea,0,0,
Q-00016,2026-07-07T15:58:26,TNA,T-04,FO 371 Korean election 1948,0,0,
Q-00017,2026-07-07T15:58:35,TNA,T-12,FO 371/84053,-1,0,ERROR HTTP Error 500: Internal Server Error
Q-00018,2026-07-07T15:58:44,TNA,T-12,FO 371/84057,-1,0,ERROR HTTP Error 500: Internal Server Error
